set,phase,ms,type
backburner,load,539.183,self
backburner,load,539.183,cumulative
backburner,boot,193.769,self
backburner,boot,732.952,cumulative
backburner,transition,235.609,self
backburner,transition,968.561,cumulative
backburner,render,616.793,self
backburner,render,1585.354,cumulative
backburner,lazy-render,391.035,self
backburner,lazy-render,1976.389,cumulative
backburner,after-render,2.265,self
backburner,after-render,1978.654,cumulative
backburner,paint,0.035,self
backburner,paint,1978.689,cumulative
backburner,load,527.887,self
backburner,load,527.887,cumulative
backburner,boot,202.189,self
backburner,boot,730.076,cumulative
backburner,transition,265.052,self
backburner,transition,995.128,cumulative
backburner,render,584.788,self
backburner,render,1579.916,cumulative
backburner,lazy-render,435.017,self
backburner,lazy-render,2014.933,cumulative
backburner,after-render,2.061,self
backburner,after-render,2016.994,cumulative
backburner,paint,0.03,self
backburner,paint,2017.024,cumulative
backburner,load,523.869,self
backburner,load,523.869,cumulative
backburner,boot,202.73,self
backburner,boot,726.599,cumulative
backburner,transition,235.94,self
backburner,transition,962.539,cumulative
backburner,render,596.238,self
backburner,render,1558.777,cumulative
backburner,lazy-render,426.535,self
backburner,lazy-render,1985.312,cumulative
backburner,after-render,2.249,self
backburner,after-render,1987.561,cumulative
backburner,paint,0.037,self
backburner,paint,1987.598,cumulative
backburner,load,541.212,self
backburner,load,541.212,cumulative
backburner,boot,196.999,self
backburner,boot,738.211,cumulative
backburner,transition,240.511,self
backburner,transition,978.722,cumulative
backburner,render,627.192,self
backburner,render,1605.914,cumulative
backburner,lazy-render,426.143,self
backburner,lazy-render,2032.057,cumulative
backburner,after-render,2.029,self
backburner,after-render,2034.086,cumulative
backburner,paint,0.032,self
backburner,paint,2034.118,cumulative
backburner,load,550.544,self
backburner,load,550.544,cumulative
backburner,boot,202.428,self
backburner,boot,752.972,cumulative
backburner,transition,238.518,self
backburner,transition,991.49,cumulative
backburner,render,580.331,self
backburner,render,1571.821,cumulative
backburner,lazy-render,441.243,self
backburner,lazy-render,2013.064,cumulative
backburner,after-render,2.333,self
backburner,after-render,2015.397,cumulative
backburner,paint,0.032,self
backburner,paint,2015.429,cumulative
backburner,load,544.054,self
backburner,load,544.054,cumulative
backburner,boot,199.348,self
backburner,boot,743.402,cumulative
backburner,transition,234.238,self
backburner,transition,977.64,cumulative
backburner,render,592.107,self
backburner,render,1569.747,cumulative
backburner,lazy-render,428.461,self
backburner,lazy-render,1998.208,cumulative
backburner,after-render,2.243,self
backburner,after-render,2000.451,cumulative
backburner,paint,0.032,self
backburner,paint,2000.483,cumulative
backburner,load,529.016,self
backburner,load,529.016,cumulative
backburner,boot,194.561,self
backburner,boot,723.577,cumulative
backburner,transition,240.568,self
backburner,transition,964.145,cumulative
backburner,render,657.73,self
backburner,render,1621.875,cumulative
backburner,lazy-render,439.03,self
backburner,lazy-render,2060.905,cumulative
backburner,after-render,2.325,self
backburner,after-render,2063.23,cumulative
backburner,paint,0.035,self
backburner,paint,2063.265,cumulative
backburner,load,523.651,self
backburner,load,523.651,cumulative
backburner,boot,208.226,self
backburner,boot,731.877,cumulative
backburner,transition,239.082,self
backburner,transition,970.959,cumulative
backburner,render,591.638,self
backburner,render,1562.597,cumulative
backburner,lazy-render,441.361,self
backburner,lazy-render,2003.958,cumulative
backburner,after-render,1.973,self
backburner,after-render,2005.931,cumulative
backburner,paint,0.033,self
backburner,paint,2005.964,cumulative
backburner,load,515.704,self
backburner,load,515.704,cumulative
backburner,boot,196.599,self
backburner,boot,712.303,cumulative
backburner,transition,249.799,self
backburner,transition,962.102,cumulative
backburner,render,620.859,self
backburner,render,1582.961,cumulative
backburner,lazy-render,437.505,self
backburner,lazy-render,2020.466,cumulative
backburner,after-render,1.882,self
